0-core-client (1.1.0a5)                                                 - Zero-OS 0-core client
bark-ssg (1.3.4)                                                        - Single file static site generator.
barman-cli (1.2)                                                        - Client Utilities for Barman, Backup and Recovery Manager for PostgreSQL
barman (2.2)                                                            - Backup and Recovery Manager for PostgreSQL
barnes-hut-tsne (0.2.0)                                                 - TSNE implementations for python
barnum (0.5.1)                                                          - Create random data for your applications
baron (0.6.6)                                                           - Full Syntax Tree for python to make writing refactoring code a realist task
cfc-barpy (0.1.3)                                                       - Ruby barby barcodes generating library port to Python
barpy (0.1.2)                                                           - Ruby barby barcodes generating library port to Python
barracks_sdk (0.0.8)                                                    - API implementation for Barracks
barrels (0.0.6)                                                         - Instead of tarballs, barrels of files
barrett (0.1.1)                                                         - out-of-core processing and plotting of MultiNest output
django-transaction-barrier (0.3)                                        - Transaction barriers for Django and Celery.
bars (0.0.1)                                                            - A command-line interface that loads a CSV file and outputs a bar chart.
barsup-core (0.2.9)                                                     - UNKNOWN
bart (0.0.3)                                                            - UNKNOWN
bart_api (0.1-5)                                                        - a python client that interacts with the bay area rapid transit api
baruwa (2.0.9)                                                          - Ajax enabled MailScanner web frontend
BaruwaAPI (0.0.2)                                                       - Python bindings for Baruwa REST API
basalt-tasks (0.2)                                                      - Helper functions for the basalt invoke build file.
BASC-WARC (0.0.1)                                                       - Create and manage WARC files. Currently in planning / pre-alpha stage.
BASC-py4chan (0.6.3)                                                    - Python 4chan API Wrapper. Improved version of Edgeworth's original py-4chan wrapper.
cfn-environment-base (0.9.19)                                           - Base environment for Troposphere based CFN project environments
Django-base (v1.1)                                                      - Django-base project setup
jsonrpc-base (1.0)                                                      - A JSON-RPC client library base interface
pywe-base (1.0.1)                                                       - 
stellar-base (0.1.5)                                                    - Code for managing Stellar.org blockchain transactions and accounts 
    using stellar-base in python. Allows full functionality interfacing
    with the Horizon front end.
jsonrpc2-base (0.7)                                                     - JSONRPC 2.0 client over HTTP
django-testing-base (0.4.0)                                             - Simple Django testing base classes and patterns
spark-testing-base (0.7.1)                                              - Spark testing for python
pytest-base-url (1.4.1)                                                 - pytest plugin for URL based testing
soma-base (4.5.8)                                                       - soma-base
django-locations-base (0.3.4)                                           - A simple locations app for Django
wiki-base (0.2.5)                                                       - A collection of wiki-like Django modules for integration with APIs. Based on wiki package.
dc-django-base (0.6.3)                                                  - Django base application
django-wechat-base (1.1.4)                                              - fixed api error
egenix-mx-base (3.2.9)                                                  - eGenix mx Base Distribution for Python - mxDateTime, mxTextTools, mxProxy, mxTools, mxBeeBase, mxStack, mxQueue, mxURL, mxUID
invenio-base (1.0.0a14)                                                 - Base package for building the Invenio application.
python-base (1.1.8)                                                     - General purpose library for Python.
vsc-base (2.5.8)                                                        - Common tools used within our organization. Originally created by the HPC team of Ghent University (http://ugent.be/hpc).
base-node-rpc (0.19)                                                    - Provides: 1) A memory-efficient set of base classes providing an API to most of the Arduino API, including EEPROM access, raw I2C master-write/slave-request, etc., and 2) Support for processing RPC command requests through either serial or I2C interface.  Utilizes Python (host) and C++ (device) code generation from the `arduino_rpc` (http://github.com/wheeler-microfluidics/arduino_rpc.git) package.
robotpy-hal-base (2017.1.2)                                             - WPILib Hardware Abstration Layer base
flowtool-base (0.7.61)                                                  - Start managing your workflow!
base32-crockford (0.3.0)                                                - A Python implementation of Douglas Crockford's base32 encoding scheme
base32hex (1.0.2)                                                       - RFC 4648 Extended Hex Alphabet
base36 (0.1.1)                                                          - Yet another implementation for the positional numeral system using 36 as the radix.
python-base62 (1.0.0)                                                   - 
micropython-base64 (3.3.3-3)                                            - CPython base64 module ported to MicroPython
django-base64field (1.0)                                                - A motherfucking django model field to bring base64 encoded key to models.
base65536 (0.1.1)                                                       - Base-65536 Python implementation
base91 (1.0.1)                                                          - Base91 encoding in Python
base92 (1.0.3)                                                          - A library to create base92 encoded strings
base_bridge (1.0)                                                       - A base bridge between django framework and our private application.
basebot (1.1.0)                                                         - a base IRC bot extensible with plugins
BaseBWA (0.4.0)                                                         - A supporting application for BlazeWeb applications.
basecamp (0.0.12)                                                       - Almost complete warapper around the Basecamp API.
basecampreporting (0.5)                                                 - Read-only interface to Basecamp projects, with support for Scrum concepts like sprints and backlogs.
BasecampWrapper (0.1)                                                   - A wrapper around the Basecamp API.
basecampx (0.1.8)                                                       - Wrapper for Basecamp Next API.
django-baseclasses (1.0.9)                                              - A set of reusable base classes and helpers for django
BaseConv (0.1a)                                                         - A generic base-conversion library for Python.
python-baseconv (1.2.0)                                                 - Convert numbers from base 10 integers to base X strings and back again.
baseconvert (1.0.0a4)                                                   - Convert numbers between bases.
basecrm (1.2.3)                                                         - BaseCRM Official API V2 library client for Python
text-based-switcher (0.0.2.dev0)                                        - Text-based window switcher for Unity
python-group-based-policy-client (0.13.1)                               - CLI and Client Library for Group Based Policy
basedata (0.2)                                                          - support library for basedata.org
baseframe (0.3.1)                                                       - Baseframe for HasGeek projects
basehangul (1.1)                                                        - Human-readable binary encoding, BaseHangul for Python
BaseHash (3.0.4)                                                        - Reversible obfuscated identifier hashes.
basemap (1.0.7)                                                         - Plot data on map projections with matplotlib
basemap_Jim (0.1.1)                                                     - basemap of Northwestern Atlantic Coastline for python plotting  .
basement (0.2.2)                                                        - A python project scaffolding generator.
basen (0.1)                                                             - BaseN
basepair (0.9.11)                                                       - Python clint for Basepair's API
baseplate (0.20.0)                                                      - A library to build services on
baserip (0.2-beta2)                                                     - The alkali version of acidrip (libav based).
djangoapps-bases (0.2)                                                  - A simple Django app to conduct Web-based polls.
bases.py (0.2.2)                                                        - A python port for https://github.com/aseemk/bases.js
basescript (0.1.11)                                                     - Basic infrastructure for writing scripts
BaseXClient (8.4.4)                                                     - A client API for BaseX
baseZhang (1.5.3)                                                       - mir-feature-tools @ZHANG Xu-long
bash-toolbelt (0.0.2)                                                   - UNKNOWN
bzr-bash-completion (1.2.0)                                             - Generate bash command line completion function for bzr
Python-Bash-Utils (0.1.5)                                               - A package which allows making bash style command line scripts easier.
bash (0.6)                                                              - Bash for Python
bash_kernel (0.6)                                                       - A bash kernel for Jupyter
bashbeautify (0.1.6)                                                    - A beautifier for Bash shell scripts written in Python.
bashcolor (1.0.1)                                                       - A simple library to get colors in the bash terminal
python-bashcomplete (1.2-0)                                             - bashcomplete creation from python lists and dictionaries.
bashlex (0.12)                                                          - Python parser for bash
bashlint (0.1.0)                                                        - Bash linting tool
basho-erlastic (2.1.1)                                                  - Erlastic
bashplotlib (0.6.5)                                                     - plotting in the terminal
bashquote (2.0)                                                         - Library to access and retrieve quotes from bash.org
bashtest (0.0.7)                                                        - UNIX command-line tool for bash/shell utils unit testing
Bashutils (0.0.4)                                                       - Bash colors management and log system
django-basic-email (0.0.2)                                              - Django Basic Email application
django-basic-models-behaviors (0.6.0)                                   - Tiny app to provide basic behaviors for django models.
django-basic-stats (0.2.0)                                              - django-basic-stats is a simple traffic statistics application. It show latest referrer, google queried terms or overall hits count. It also provides optional logging and statistics for mobile devices.
basic-modeling-interface (0.1.3)                                        - Python bindings for the Basic Modeling Interface
basic-utils (1.6.0)                                                     - A simple set of Python utils
django-basic-blog (0.17)                                                - A stupid-simple blog app.
django-basic-cms (0.3.16)                                               - A tree based Django Basic CMS application
basic_oauth (0.1.5)                                                     - Implements the "Resource Owner Password Credentials Grant" from Oauth v2.
basicanalysis (0.2b1)                                                   - Extract and project fundamental factors in MPI applications.
django-basicauth (0.2)                                                  - Basic auth utilities for Django.
Flask-BasicAuth (0.2.0)                                                 - HTTP basic access authentication for Flask.
basicauth (0.4.1)                                                       - An incredibly simple HTTP basic auth implementation.
basicconfigparser (0.1)                                                 - A basic configuration file parser module for Python.
basicevents (2.0.12)                                                    - python events non-blocking
BasicHttp (0.4.2)                                                       - A easy to use and clean HTTP client lib for Python
basiciw (0.2.2)                                                         - Get wireless info of interface.
basicrpc (0.0.2)                                                        - A very simple Python RPC client
django-site-basics (0.2.5)                                              - Reusable django app to handle /favicon.ico and robots.txt for your site
basicstruct (1.0.3)                                                     - A simple struct-like object for Python
basictracer (2.2.0)                                                     - UNKNOWN
basicutilsd (1.0.0)                                                     - Basic helper functions
basicweb (1.0)                                                          - Running a light weight web server for reporting
basil (0.1)                                                             - Build a system instant-like.
basil_daq (2.4.5)                                                       - Basil - a data acquisition and system testing framework
basilisk (0.1)                                                          - Basilisk is a object-NoSQL mapper for Python 2.7 and 3.3+,supporting models, lists, hashes and sorted sets.
basin (0.1)                                                             - A Python module for generating string representations of integers and bytestrings with arbitrary base and alphabet.
basitapi (0.1.2)                                                        - UNKNOWN
Basket (1.0)                                                            - A local static PyPI repository builder
cubicweb-basket (1.5.1)                                                 - shopping cart component for the CubicWeb framework
basket-client (0.3.12)                                                  - A Python client for Mozilla's basket service.
basketweaver (0.1.3-r0)                                                 - Provides utilities for making your own python package index.
baskt (0.0.8)                                                           - This library allows you to quickly and easily use the Baskt API via Python.
bat-country (0.2)                                                       - A lightweight, extendible, easy to use Python package for deep dreaming and image generation with Caffe and CNNs
Bat-man (0.3.1)                                                         - A YouTube batch downloader and converter.
batavia (0.0.0)                                                         - Tools to run Python bytecode on the Javascript VM.
batbelt (0.5.2)                                                         - A collection of gagdets that makes Python even more powerful.
bitbucket-batch (0.1.2)                                                 - A tool for bulk updating access to bitbucket.org repos.
batch-rename (1.0.6)                                                    - An easy to use python script for quickly renaming multiple files ending with incrementing numbers.
batchcompute (2.0.8a6)                                                  - Python SDK for aliyun batchcompute service
Batcher (2)                                                             - Cut sliceable objects into batches, eg for paging display on a website
python-batcher (0.0.2)                                                  - Process items in batches rather than one-by-one.
django-batchform (0.3.0)                                                - Fill a batch of django forms from an uploaded file.
batchhttp (1.1.1)                                                       - Parallel HTTP through MIME multipart encoding
batchlib (1.3)                                                          - Run computations in parallel in a LAN
batchOpenMPI (0.2.2)                                                    - Easy parallelization built on top of mpi4py.
batchpath (0.2)                                                         - Developer utility to generate and verify pathnames
batchphoto (0.0.2.dev0)                                                 - Python library for batch processing of photos
batchpy (1.1.0)                                                         - A package to efficiently run batches of similar calculations
BatchQ (0.1-2-pre-alpha)                                                - Python automatisation tools.
batemaneq (0.1.0)                                                       - Python package for evaluating Bateman's equation
bates (0.0.1)                                                           - HTML5 adaptive images polyfill: a Django and javascript solution
python-batian (0.1)                                                     - Batian python agent.
batinfo (0.4.2)                                                         - A simple Python module to retrieve battery information
batman-package (2.4.5)                                                  - Fast transit light curve modeling
baton (1.0.1)                                                           - Python wrapper for baton.
django-baton (1.0.2)                                                    - A cool, modern and responsive django admin application
batou (1.6.0a2)                                                         - A utility for automating multi-host, multi-environment software builds and deployments.
batou_scm (0.4)                                                         - Batou components for managing source code in a development deployment.
BATS (1.1.0a4)                                                          - https://github.com/ContaTP/BATS-Bayesian-Adaptive-Trial-Simulator
battalion (0.5.6)                                                       - Python framework for commandline applications
battery_status (0.0.9)                                                  - Battery Status Notifier
batterystaple (0.1.0dev1)                                               - Small library for generating XKCD style passphrases
battlecat (0.1.0)                                                       - Django-based double entry accounting based on Hordak
battlefield1-sdk (1.1)                                                  - Battlefield 1 sdk
battlenet (0.2.6)                                                       - Python Library for Blizzard's Community Platform API
battmon (0.7.0_rc3)                                                     - Simple battery monitoring program written in python especially for tiling window managers like awesome, dwm, xmonad.
BatzenCA (0.1)                                                          - UNKNOWN
bauble (1.0.62)                                                         - Ghini is a biodiversity collection manager software application
bautils (0.1.4)                                                         - Utils for the Python bitarray module
baya (1.0.0)                                                            - Nested LDAP Groups authorization.
bayeosgatewayclient (0.2.6)                                             - Transfers client data to a BayEOS Gateway.
bayes-variants (0.1.1)                                                  - Bayes
naive-bayes (0.1.1)                                                     - Naive Bayes Text Classification
bayes_on_redis (0.1.9)                                                  - bayes_on_redis library provides bayesian classification on a given text similar to many SPAM/HAM filtering technique.
BayesFlare (1.0.4)                                                      - Python functions and classes implementing a Bayesian approach to flare finding.
Bayesian (0.3.1)                                                        - Library and utility module for Bayesian reasoning
bayesian_bootstrap (1.0.4)                                              - Bayesian Bootstrapping for statistics and regression models
bayesian_bozo (0.0.3)                                                   - Bayesian statistical functions for Python
BayesianBozo (0.1.0)                                                    - Bayesian statistical functions for Python
bayeslite (0.1.8)                                                       - BQL database built on SQLite3
bayesnet (0.1)                                                          - Bayesian network implementation.  Influenced by Cecil Huang's and Adnan
bayespy (0.5.8)                                                         - Variational Bayesian inference tools for Python
bayesredis (1.2.1)                                                      - A Simple Naive Bayes Classifier in Python
nameko-bayeux-client (0.0.1)                                            - Nameko extension with a Cometd client implementing Bayeux protocol
python-bayeux (0.1)                                                     - A bayeux client for python.
bayfiles (0.0.3)                                                        - A library to upload files to bayfiles.com
bayle (1.0.7)                                                           - A Python package that provides reproducible code and data for my scientific research
bayonet (1.1.0)                                                         - Bayonet python client library
bayonetpython (0.0.0)                                                   - Bayonet python client library
bayrell_app (0.0.1)                                                     - Bayrell Application for python
bayrell_crud (0.0.1)                                                    - Bayrell CRUD Interface for python
bayrell_http (0.0.1)                                                    - Bayrell HTTP for python
bayrell_lang (0.0.1)                                                    - Bayrell Language for python
bayrell_orm (0.0.1)                                                     - Bayrell Object-Relational Mapping for python
bayrell_rtl (0.0.1)                                                     - Bayrell runtime library for python
bayrell_streams (0.0.1)                                                 - Bayrell Streams for python
baytech (0.2)                                                           - Control Baytech products via telnet.
emencia-django-bazar (0.6.2)                                            - A Django app to store basic informations about entities
bb-pytest (0.2)                                                         - Buildbot step for py.test.
bbarchivist (3.4.0)                                                     - BlackBerry autoloader tools
bbcflib (1.4.0)                                                         - Utility modules for deploying workflows in the BBCF
django-content-bbcode (0.1.1)                                           - Advanced BBCode alike tags parser
bbcode (1.0.25)                                                         - A pure python bbcode parser and formatter.
django-precise-bbcode (1.2.8)                                           - A django BBCode integration..
bbcondeparser (0.0.7)                                                   - parser for Conde Nast BBCode
BBCS-Tools (1.0.2.1)                                                    - Bitbucket Codeship integration tools.
bbdb.gmailfilter (0.5)                                                  - Export BBDB contacts to gmail filter import XML
bbfreeze (1.1.3)                                                        - create standalone executables from python scripts
bbgateway (0.0.4)                                                       - Python 3 package for Bankcard Brokers Payment Gateway integration.
bblame (0.4.3)                                                          - An ncurses app for browsing file git history
pydetector-bblfsh (0.11.0)                                              - Python command line application & package to guess the Python version of a file
bbrecorder (1.0.2)                                                      - Black box style logging handler to delay logs emitting to crisis situation.
bbricks (1.0.18)                                                        - C/C++ builder on top of SCons, automatically enforcing quality, coding standards, etc
bbridge_sdk (0.3)                                                       - The library enables you to make requests such as user profiling, image object detection, etc.
Flask-HAL-BBVA (1.0.5)                                                  - Provides easy integration of the HAL specification for your REST Flask Applications.
bbvisa2ofx (0.21)                                                       - Converter uma fatura de cartao de credito TXT do Banco do Brasil para OFX
bcbio-gff (0.6.4)                                                       - Read and write Generic Feature Format (GFF) with Biopython integration.
bcbio-nextgen (1.0.4)                                                   - Best-practice pipelines for fully automated high throughput sequencing analysis
bcbio_monitor (1.0.6)                                                   - bcbio-monitor is an extension of bcbio-nextgen to visualize its progress
bcbiocov (0.99.4)                                                       - exome coverage calculation
bcc2to (0.4.0rc2)                                                       - Posfix plugin for individual list mail delivering
bcd (0.4)                                                               - Library to handle binary-coded decimal conversion
bce-python-sdk (0.8.8)                                                  - BCE SDK for python
requests-bce (0.0.5)                                                    - authentication for bce service
bcferries (0.1.2)                                                       - BC Ferries Python Library
bChart (0.1.1)                                                          - A Python script for bChart
bchelpers (0.3.0)                                                       - Handy helpers to make botocore easier to use
bcloud-core (3.8.2.dev1)                                                - A fork of bcloud
resdk-bcm (1.0.1)                                                       - BCM Plugin for Resolwe SDK for Python
bcolors (1.0.0)                                                         - A module for coloring print statement.
django-bcp (0.2.2)                                                      - Barcode Printer for Django
django-sql-server-bcp (0.1.8)                                           - Utility for using mssql-tools BCP command with Django models
py3k-bcrypt (0.3)                                                       - Blowfish password hashing
python-bcrypt (0.3.2)                                                   - Blowfish password hashing
bcrypt (3.1.3)                                                          - Modern password hashing for your software and your servers
Bcryptor (1.2.2)                                                        - Python wrapper for bcrypt
bcTesting (0.3.2)                                                       - A Simple Testing Framework
bctpy (0.5.0)                                                           - Brain Connectivity Toolbox for Python
bcubed (1.3)                                                            - Simple extended BCubed implementation in Python for clustering evaluation
bcwallet (1.2.7)                                                        - Simple BIP32 HD cryptocurrecy command line wallet
BD (0.0.5)                                                              - Bangladesh Details with postal code
pythonz-bd (1.11.4)                                                     - Manage python installations in your system, berdario's shallow fork
bd2k-python-lib (1.14a1.dev37)                                          - The BD2K Python module kitchen sink
bda.basen (1.1)                                                         - bda.basen
bda.cache (1.1.3)                                                       - Simple caching infrastructure.
bda.calendar.base (1.2.2)                                               - Base common calendaring features: Convinience or not coverd yet.
bda.intellidatetime (1.2.2)                                             - bda.intellidatetime
bda.ldap (1.5.2)                                                        - LDAP convenience library
bda.plone.ajax (1.7)                                                    - ``bdajax`` integration for Plone.
bda.recipe.deployment (2.0b8)                                           - python deployment process based on buildout and mr.developer
bda.zeopack (1.0)                                                       - Pack (multiple) databases (ZODB) on Zope ZEO servers
bdajax (1.8.1)                                                          - Ajax convenience.
bdateutil (0.1)                                                         - Adds business day logic and improved data type flexibility to python-dateutil.
bdbcontrib (0.1.8.1)                                                    - Hodgepodge library of extras for bayeslite
bdcli (0.2.0)                                                           - Python based command-line interface for Brown Dog services
bdd (0.2)                                                               - UNKNOWN
radish-bdd (0.6.7)                                                      - Behaviour-Driven-Development tool for python
pytest-bdd (2.18.2)                                                     - BDD for pytest
bddocs (0.44)                                                           - Create end-user readable docs in Pythonic way
bdec (0.8.0)                                                            - A set of tools for decoding binary files.
django-bdemails (1.0.5)                                                 - A Django reusable app that provides a form field and validators that check if an email is disposable/throwaway.
bdfu (1.0.3)                                                            - A "brain dead"-simple file upload server
bdist-venv2 (0.1.3)                                                     - Python distutils extension to create virtualenv built distributions.
bdist_docker (0.1.1)                                                    - Distutils extension command to build docker images for python applications.
bdist_mpkg (0.5.0)                                                      - Builds Mac OS X installer packages from distutils
bdist_nsi (0.1.5)                                                       - Create NSIS windows installers for Python modules.
bdist_venv (0.1.2)                                                      - Python distutils extension to bundle package as a virtualenv.
bdl (0.0.0)                                                             - Bondage and Discipline, Python style.
BdMusic (0.2.1)                                                         - Baidu Music Download Helper
elasticsearch-bdoc (2.4.1)                                              - Python client for Elasticsearch
bdp (0.2)                                                               - Block Diagrams in Python
bdsync-manager (0.2)                                                    - Synchronize one or more blockdevices to a remote target via bdsync
bdt_8chan (1.0.0)                                                       - 8Chan Thread Archiver - Downloads a thread; images, webms and all.
bdtranslate (1.0.1)                                                     - Google translate, baidu translate service wrapper
bdusers (3.2)                                                           - A bdusers Python project
pytvgrab-be_tlm (0.5.0)                                                 - python xmltv grabber for Belgium (wallonie) (source - http://www.telemoustique.be)
pytvgrab-be_tvb (0.5.0)                                                 - python xmltv grabber for Belgium (flanders)/The Netherlands (source - http://www.teveblad.be)
beach (0.5.10.3)                                                        - Simple private python cloud framework
Beacon (1.3-alpha)                                                      - Python IRC bot for Python 3
beacontools (1.1.0)                                                     - A Python library for working with various types of Bluetooth LE Beacons.
BeadCalculator (0.1)                                                    - A script to calculate peyote stich beadwork design options.
BeaEnginePython (3.1.0)                                                 - BeaEngine disassembler bindings for Python
Flask-Beaker (0.2.0)                                                    - Beaker session interface for Flask.
bottle-beaker (0.1.3)                                                   - Bottle plugin beaker, WSGI middleware for sessions and caching
Beaker (1.9.0)                                                          - A Session and Caching library with WSGI Middleware
BeakerHelpers (0.1)                                                     - An extendable Beaker helpers package to manage Beaker sessions
pytest-beakerlib (0.7.1)                                                - A pytest plugin that reports test results to the BeakerLib framework
beam (0.4.0)                                                            - A lightweight wrapper for the SolusVM client API.
beam_integrals (1.1.0)                                                  - Console app and Python API for determining beam integrals of all 6 supported beam types, as described in D.D. Milasinovic, "The Finite Strip Method in Computational Mechanics" (ISBN 8680297194)
beam_interactive (0.3.0)                                                - reference Robot implementation for Beam Interactive
beam_utils (0.0.4)                                                      - Small lib with a few utilities for the Python SDK of Apache Beam
beamline (1.3.6)                                                        - online model package for electron accelerator
beanbag-docutils (1.4)                                                  - Sphinx utility modules for Beanbag's documentation format.
beans (1.2.0)                                                           - The Python client library for the Beans API
Flask-Beanstalk (0.0.3)                                                 - Utilities for using Beanstalk with Flask
beanstalkc (0.4.0)                                                      - A simple beanstalkd client library
beanstalkc3 (0.4.0)                                                     - A simple beanstalkd client library (python 3 compatible fork)
beanstalkclient (0.1.3)                                                 - beanstalkclient is a simple beanstalkd client library for Python.
django-beanstalkd (1.0.1)                                               - A convenience wrapper for beanstalkd clients and workers in Django using the beanstalkc library for Python
beanstalky (0.5.1)                                                      - A simple beanstalkd client library
beanstream (1.0.1)                                                      - Beanstream SDK library for processing credit card payments.
petulant-bear (0.1.3)                                                   - Presents etree interface to netcdf4-python objects using NCML data model
bearcart (0.1.3)                                                        - Python Pandas + Rickshaw.js = BearCart
beard (0.2)                                                             - Bibliographic Entity Automatic         Recognition and Disambiguation
beard-server (0.3.0)                                                    - Beard as RESTful API and Celery service.
flag-bearer (0.1)                                                       - CDC IScorE Flag Utility
bearfield (1.9.6)                                                       - Small MongoDB object layer.
bearform (1.2)                                                          - Easy data conversion and validation for frontends.
bearlibterminal (0.15.4)                                                - BearLibTerminal is a pseudoterminal window library
coala-bears (0.12.0.dev20170722110839)                                  - Bears for coala (Code Analysis Application)
Flask-BearyChat (0.2.0)                                                 - A Flask extension to help interact with BearyChat
bearychat-py (0.3.1)                                                    - A simple package for interacting with bearychat.
bearychat (0.4.1)                                                       - SDK for BearyChat
beatbox (32.1)                                                          - A Python library for querying/updating Saleforce.com data via SOAP API
beatbox3 (0.96.1)                                                       - Makes the salesforce.com SOAP API easily accessible. for Python 3
beatboxxx (21.5)                                                        - A Python client for the Saleforce.com SOAP API
django-beatle (0.1.1)                                                   - Django client for beatle
beatle (0.2.2)                                                          - A development environment made in python
beatloop (0.1)                                                          - Python module for programming simple beat loops.
beatport (0.0.1)                                                        - Unofficial Python API client for Beatport.com
beatract (1.4.0)                                                        - Beat Extracting module for music
beautiful-time (0.2)                                                    - date string, datetime, time and timestamp converter
BeautifulCharts (0.6.5)                                                 - Simple, elegant and fast charting library for Python
BeautifulHTML (1.2.0)                                                   - Can write a Beautiful HTML Code in python script.
BeautifulHue (0.1.2)                                                    - A Python module for the Philips Hue Lighting System API.
django-beautifulpredicates (0.0.1)                                      - Library to provide a predicate dispatch for Django's generic views.
beautifulscraper (1.1.0)                                                - Python web-scraping library that wraps urllib2 and BeautifulSoup.
ipython-beautifulsoup (0.3)                                             - Custom rendering of beautifulsoup objects       in IPython notebook and qtconsole
BeautifulSoup (3.2.1)                                                   - HTML/XML parser for quick-turnaround applications like screen-scraping.
beautifulsoup4-slurp (0.0.2)                                            - Slurp packages Beautifulsoup4 into command line.
beautifulsoup4 (4.6.0)                                                  - Screen-scraping library
  INSTALLED: 4.6.0 (latest)
beautifurl (0.0.2)                                                      - Generates beautiful urls similar to Gfycat.
Beautils (0.0.2)                                                        - a module to make Beau stop bitching about time in Python
django-beauty-view (0.0.5)                                              - Beauty Django Views Mixin
beautysh (3.3)                                                          - A Bash beautifier for the masses.
Beaver (36.2.1)                                                         - python daemon that munches on logs and sends their contents to logstash
beaver_sqs (0.0.1)                                                      - python daemon that munches on logs and sends their contents to logstash
bebop.protocol (0.1)                                                    - This package allows to register components from Python. It also provides a basic implementation of generic functions in Zope3
becas (1.0.3)                                                           - becas API client for Python.
becca (0.9.0)                                                           - A general learning algorithm
becca_test (0.9.0)                                                      - A test suite for Becca
BECer-GAE (1.0)                                                         - Chinese words segregation and full text search for Google App Engine
bechdel (0.1)                                                           - Retrieve Movies' Bechdel Score
beckett (0.8.0)                                                         - Hypermedia API Client Framework
beddit-python (0.1.1)                                                   - API client for Beddit sleep tracker
tornado-bedframe (3.2.0)                                                - Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed.
ujson-bedframe (1.33.0)                                                 - Ultra fast JSON encoder and decoder for Python
Bedframe (0.13.5)                                                       - A resource-oriented web services framework
bedrock (0.2.2)                                                         - Yet another collection of seemingly essential Python features and utilities for building non-trivial applications
pytest-beds (0.3.0)                                                     - Fixtures for testing Google Appengine (GAE) apps
beebotte (0.5.0)                                                        - Python library for interfacing with Beebotte
beecom (0.3.19)                                                         - BVC Printer Python driver
beefapi (0.2.1)                                                         - Python library that facilitates interfacing with BeEF via it's RESTful API
beehive (1.0)                                                           - beehive is behaviour-driven development, Python style
beekeeper (0.9.2)                                                       - 
beemodoro (1.2.0)                                                       - Beeminder Pomodoro Timer
beeng (0.0.3)                                                           - A python wrapper for Be10/Be15 calculation engines
beepfun (0.1.0)                                                         - UNKNOWN
Beer.py (0.2.0)                                                         - A Beer implementation in Python.
beerializer-sqlalchemy (0.1.6)                                          - Package to convert arbitrary python objects into DTOs ready for serialization and validation.
beerializer (0.1.6)                                                     - Package to convert arbitrary python objects into DTOs ready for serialization and validation.
beerprogress (0.0.2)                                                    - Command line progress indicator library for Python3
bees (0.1)                                                              - Python package example
beetmoverscript (0.5.3)                                                 - TaskCluster Beetmover Script
beets-copyartifacts (0.1.2)                                             - beets plugin to copy non-music files to import path
beets-popularity (1.0.2)                                                - Beets plugin to fetch and store popularity values as flexible item attributes
beets-follow (1.1.0)                                                    - Plugin for the music library manager Beets. Follow artists from your library using muspy.com
