0-core-client (1.1.0a5)                                                 - Zero-OS 0-core client
abilian-core (0.9.8)                                                    - A framework for enterprise applications (CRM, ERP, collaboration...), based on Flask and SQLAlchemy
abipy (0.2.0)                                                           - Python package to automate ABINIT calculations and analyze the results.
abiquo-api (0.1.11)                                                     - Abiquo API Python Client
Abjad (2.20)                                                            - Abjad is a Python API for Formalized Score Control.
abl.util (0.1.16)                                                       - A package that contains various helpful classes and functions used widely in the Ableton Python code base.
ablog_api (0.7.1)                                                       - ablog_api description
ablog_cli (1.0.7)                                                       - ablog_cli description
ably (1.0.0)                                                            - A Python client library for ably.io realtime messaging
ABN (0.3.7)                                                             - Validate Australian Business Numbers.
abo-s-pysync (2.24)                                                     - A Python implementation of the rsync algorithm
abo-generator (0.2.2)                                                   - ABO banking format generator
django-abo (0.1.4)                                                      - Recurring payment / subscription handling for Django, supporting different payment gateways
aboardly (0.1.1)                                                        - Official Aboardly API library client for python
abodepy (0.5.1)                                                         - An Abode alarm Python library running on Python 3.
aboki (0.3)                                                             - Black market currency rate instantly in your terminal!
abook (0.4.0)                                                           - Python library to convert between Abook and vCard
abopt (0.0.12)                                                          - Optimization of abstract data types in Python
about-py (0.0.3)                                                        - Makes a webpage available with information about the projects last version control system commits and the python interpreter and used python libraries.
about (5.2)                                                             - Software Metadata for Humans
django-aboutconfig (0.5.3)                                              - A firefox-like about:config implementation for one-off settings in Django apps.
aboutyou (1.0.1)                                                        - A connection to the aboutyou.de shop.
abraxas (1.7)                                                           - password generator
absconbest-payroll (1.43)                                               - open-source spreadsheet compatible with both Excel and Calc; and functions for the best time/payroll management
absdga (0.0.2)                                                          - Gives the absolute value of a number
absl (0.0)                                                              - 
django-absolute (0.3)                                                   - Absolute URLs tools for django
absolutely_nothing (0.1)                                                - Does Absolutely Nothing better than anything else
django-absoluteuri (1.2.0)                                              - Absolute URI functions and template tags for Django
abspath (0.1.0)                                                         - get the absolute paths of files on the command line
abssmt (1.0.1)                                                          - Gives the absolute value of a number
abstar (0.2.10)                                                         - VDJ assignment and antibody sequence annotation. Scalable from a single sequence to billions of sequences.
django-abstract-utils (0.0.1)                                           - UNKNOWN
django-minimal-abstract-user (0.0.2)                                    - UNKNOWN
odoo9-addon-barcodes-generator-abstract (9.0.1.0.0.99.dev6)             - Generate Barcodes for Any Models
odoo10-addon-barcodes-generator-abstract (10.0.1.0.0.99.dev9)           - Generate Barcodes for Any Models
abstractfactory (1.0.3)                                                 - Abstract Factory functionality for Python
python-sql-abstraction (0.0.1)                                          - SQL Abstraction layer written in Python 3.2 for use in lower level applications, such as tkinter.
project-abstraction (0.5.1)                                             - Python library for encrpting scripts
abstraction (2017.1.16.1534)                                            - machine learning framework
ABtests (0.0.2.1)                                                       - Automated AB tests
django-abtoast (1.2.0)                                                  - ABToast is an A/B Testing app that is developed in django.
abtools (0.1.9)                                                         - Utilities for analysis of antibody NGS data
abydos (0.2.0)                                                          - Abydos NLP/IR library
abzer (0.2)                                                             - AcousticBrainz submission tool
ac (0.3-alpha)                                                          - A python library for writing C/C++ configure files.
aca (0.9)                                                               - Aho-Corasick automaton implementation in C++
academical-api-client (0.1.0)                                           - Official Academical API library client for python
python-academicmarkdown (0.9.0)                                         - A markdown preparser for academic writing
AcademicTorrents (1.11)                                                 - UNKNOWN
Acadview (1.0.1)                                                        - A python library for Acadview's Back-end courses.
acan (0.7.0)                                                            - Maths around brewing
python-acapela (0.2.6)                                                  - Python Acapela Text-To-Speech
acapi (0.4.3)                                                           - Acquia Cloud API client.
ACAutomation (0.7)                                                      - ACAutomation python wrapper,support unicode
acc (0.1.1)                                                             - Adaptive Cruise Control
CG-Acc (1.2.2)                                                          - A console-based software to help accumulate CGPA / SGPA data and extract useful results for the students of IIT KGP.
ACCC (0.0.3)                                                            - Always Correct Correctness Compilator
skl-groups-accel (0.1.6)                                                - Compiled components to speed up skl-groups.
npm-accel (1.0)                                                         - Accelerator for npm, the Node.js package manager
pip-accel (0.43)                                                        - Accelerator for pip, the Python package manager
AccelBrainBeat (1.0.0)                                                  - AccelBrainBeat is a python library for creating the binaural beat or monaural beat. You can play these beats and generate wav files. The frequencys can be optionally selected.
wsgi-accelerator (0.1.0)                                                - Simple HTTP cache for WSGI apps with fine-grained invalidation
greek-accentuation (1.2.0)                                              - Python 3 library for accenting (and analyzing the accentuation of) Ancient Greek words
accept-header-match (1.0.0)                                             - A tool to make finding the appropriate mimetype to return easy
accept (0.1.0)                                                          - Parse and order a HTTP Accept header.
django-accept-header (0.3.2)                                            - A Django middleware that inspects the HTTP Accept headers sent by browsers.
accept-types (0.3.0)                                                    - Determine the best content to send in an HTTP response
accepton (0.3.0)                                                        - AcceptOn Python library
accepts (0.0.51)                                                        - @accepts decorator to check arguments types
access (0.0.0)                                                          - Provides Python member access control semantics using available Python 3 syntax.
AnechoDB-Access (1.0)                                                   - A library to comunicate with the database Belen to search, download and compute beam stored in it
django-access-tokens (0.9.2)                                            - A Django app for for generating secure scoped access tokens.
spark-access-pp (1.0.2)                                                 - Simple Cisco Spark interaction via a Python class
Chinese-RFID-Access-Control-Library (0.0.6)                             - A library for interfacing with one of the most common RFID Access Control System sold in China.
random-access-file-reader (0.3.0)                                       - A python random access file reader
django-all-access (0.9.0)                                               - django-all-access is a reusable application for user registration and authentication from OAuth 1.0 and OAuth 2.0 providers such as Twitter and Facebook.
access2theMatrix (0.2.3)                                                - Scienta Omicron (NanoScience) (NanoTechnology) MATRIX Control System result file accessing tool
AccessControl (4.0a7)                                                   - Security framework for Zope2.
accessdb (0.1)                                                          - Fast way to create Access Database
accessibility (0.4.0)                                                   - Extension module that wraps the Accessibility API for Mac OS X.
wagtail-accessibility (0.1.2)                                           - A plugin to assist with accessibility when developing in Wagtail.
accessible_output (0.7.5)                                               - Library to provide speech and braille output to a variety of different screen readers and other accessibility solutions.
accessor (0.1)                                                          - A simple python module for resolving paths on python objects
zenodo-accessrequests (1.0.0a2)                                         - Zenodo module for providing access request feature.
python-accesstrailclient (0.0.1.dev10)                                  - Client Library for Access Trail API
acclaim-badges (0.1.0)                                                  - Acclaim Badges for EDX
accloudtant (0.1.3)                                                     - Cloud cost calculation tool
