Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-July-2016,104.60,105.75,103.75,104.00,104.321579878271961566,456263,180,47598077.00,448454,98.29,2.00,-0.60
22-July-2016,101.00,106.00,101.00,104.60,104.689116963594113090,77460,732,8109219.00,29849,38.53,5.00,3.60
21-July-2016,104.05,104.60,103.35,103.60,103.917120037041324227,8639,114,897740.00,5708,66.07,1.25,-0.45
20-July-2016,104.50,104.75,103.45,103.70,104.096972640440343208,6177,75,643007.00,4000,64.76,1.30,-0.80
19-July-2016,104.25,104.30,103.50,103.80,103.814374711582833410,8668,105,899863.00,4596,53.02,0.80,-0.45
18-July-2016,104.50,104.70,103.50,103.65,104.003875301412332070,11612,180,1207693.00,8475,72.98,1.20,-0.85
15-July-2016,104.25,105.00,103.95,104.10,104.310543657331136738,12140,316,1266330.00,7094,58.43,1.05,-0.15
14-July-2016,105.00,105.55,103.85,104.25,104.576798807630365413,99969,220,10454438.00,53714,53.73,1.70,-0.75
13-July-2016,104.25,105.25,103.75,104.60,104.419695301365877730,271547,358,28354855.00,183506,67.58,1.50,0.35
12-July-2016,104.60,105.15,103.75,104.15,104.383593262632563942,16030,209,1673269.00,7763,48.43,1.40,-0.45
11-July-2016,105.00,105.35,104.20,104.75,104.795893363381893953,111819,315,11718172.00,95004,84.96,1.15,-0.25
8-July-2016,104.85,104.85,103.70,104.10,104.317132729421031902,25390,276,2648612.00,13040,51.36,1.15,-0.75
7-July-2016,103.15,105.90,103.15,104.55,104.587736722422455711,222518,635,23272654.00,138144,62.08,2.75,1.40
5-July-2016,105.45,107.60,104.20,104.55,105.346613521498156603,327656,1855,34517450.00,104571,31.91,3.40,-0.90
4-July-2016,105.50,106.90,104.40,104.90,105.248131740278337136,22347,357,2351980.00,8763,39.21,2.50,-0.60
1-July-2016,105.20,105.50,104.20,104.80,104.873810025345355956,147167,270,15433964.00,134701,91.53,1.30,-0.40
30-June-2016,105.00,105.40,104.20,104.55,104.866214251090644692,14441,196,1514373.00,7483,51.82,1.20,-0.45
29-June-2016,106.95,106.95,104.05,104.35,105.211209226887727518,33294,454,3502902.00,11575,34.77,2.90,-2.60
28-June-2016,104.85,105.80,104.25,104.85,104.854946808510638297,526400,338,55195644.00,507572,96.42,1.55,0.00
27-June-2016,104.05,106.70,103.60,105.55,105.163604143947655398,36680,455,3857401.00,23311,63.55,3.10,1.50
24-June-2016,101.55,103.90,100.00,103.40,103.025377067563779086,89175,820,9187288.00,52609,59.00,3.90,1.85
23-June-2016,103.95,104.00,102.20,103.15,103.388888888888888888,7344,148,759288.00,3991,54.34,1.80,-0.80
22-June-2016,103.60,105.40,103.00,103.30,103.882032801353239685,13597,237,1412484.00,4584,33.71,2.40,-0.30
21-June-2016,104.00,104.05,102.45,103.10,103.344086021505376344,14508,167,1499316.00,8370,57.69,1.60,-0.90
20-June-2016,103.00,104.10,103.00,103.20,103.314533053515215110,11436,221,1181505.00,3657,31.98,1.10,0.20
17-June-2016,103.65,103.80,102.90,103.00,103.181654394485351715,12766,194,1317217.00,7972,62.45,0.90,-0.65
16-June-2016,103.85,104.50,102.60,102.95,103.302873723120950753,25159,265,2598997.00,11372,45.20,1.90,-0.90
15-June-2016,104.50,108.40,103.50,103.75,104.784895839709584447,1551983,1671,162624377.00,1458516,93.98,4.90,-0.75
14-June-2016,105.00,105.80,103.80,104.00,104.431454545454545454,11000,163,1148746.00,3860,35.09,2.00,-1.00
13-June-2016,104.95,105.35,103.60,103.85,104.407411328745367919,9445,174,986128.00,3230,34.20,1.75,-1.10
10-June-2016,103.85,107.80,103.85,104.25,105.587438188126656285,36603,444,3864817.00,14699,40.16,3.95,0.40
9-June-2016,105.00,105.05,104.05,104.25,104.527967736279151323,5703,95,596123.00,3125,54.80,1.00,-0.75
8-June-2016,104.05,104.50,103.85,104.00,104.179583270873931944,6671,114,694982.00,4309,64.59,0.65,-0.05
7-June-2016,104.50,104.50,103.35,103.55,103.994734931009440813,11016,121,1145606.00,4620,41.94,1.15,-0.95
6-June-2016,102.50,104.20,102.00,103.90,104.009702702277341475,127078,303,13217345.00,95903,75.47,2.20,1.40
3-June-2016,103.35,104.45,102.65,103.00,103.572240088966367106,33271,324,3445952.00,18611,55.94,1.80,-0.35
2-June-2016,104.75,104.75,103.00,103.60,103.890288962576977735,10555,199,1096562.00,5832,55.25,1.75,-1.15
1-June-2016,103.70,104.50,103.50,103.50,103.594489854046729213,115859,144,12002354.00,110572,95.44,1.00,-0.20
31-May-2016,104.50,104.50,103.45,103.65,103.693013363297082547,124595,394,12919631.00,114445,91.85,1.05,-0.85
30-May-2016,104.80,105.50,104.00,104.35,104.690332586593141478,5803,116,607518.00,3983,68.64,1.50,-0.45
27-May-2016,104.70,105.50,103.90,103.90,103.933845803957243575,109925,143,11424928.00,105551,96.02,1.60,-0.80
26-May-2016,104.35,105.35,103.50,104.00,104.358073654390934844,5295,173,552576.00,2570,48.54,1.85,-0.35
25-May-2016,104.90,105.95,103.60,104.15,104.625447484982707359,16481,337,1724332.00,6703,40.67,2.35,-0.75
24-May-2016,104.05,104.40,103.35,103.95,103.851689551076054143,20538,325,2132906.00,13353,65.02,1.05,-0.10
23-May-2016,104.35,104.45,103.55,103.80,103.937139769452449567,22208,254,2308236.00,11908,53.62,0.90,-0.55
20-May-2016,104.20,104.90,103.15,103.70,103.991502427877749214,28008,774,2912594.00,13694,48.89,1.75,-0.50
19-May-2016,104.55,105.00,103.30,103.65,104.712958845906822785,121446,477,12716970.00,108248,89.13,1.70,-0.90
18-May-2016,104.45,105.00,102.60,103.55,104.388065716791920532,126543,1933,13209579.00,105717,83.54,2.40,-0.90
17-May-2016,105.20,105.90,104.00,104.30,104.345615205068356118,29990,873,3129325.00,17313,57.73,1.90,-0.90
16-May-2016,104.50,105.95,99.00,104.65,103.861119128057993650,117806,2077,12235463.00,58118,49.33,6.95,0.15
13-May-2016,105.45,105.45,102.35,103.40,104.098131722966597471,10598,161,1103232.00,7897,74.51,3.10,-2.05
12-May-2016,104.25,104.90,104.00,104.35,104.582672482157018239,5044,136,527515.00,3430,68.00,0.90,0.10
11-May-2016,104.25,105.00,104.00,104.40,104.492195967916756991,9226,209,964045.00,5130,55.60,1.00,0.15
10-May-2016,105.55,105.55,104.00,104.40,104.655408880507457569,5833,131,610455.00,3553,60.91,1.55,-1.15
9-May-2016,106.55,106.65,104.50,104.70,105.355916030534351145,14672,275,1545782.00,9026,61.52,2.15,-1.85
6-May-2016,106.30,106.60,105.15,105.55,105.767196106058665300,15614,274,1651449.00,9311,59.63,1.45,-0.75
