"date","close","volume","open","high","low"
"2017/01/06","6.8545","7606630.0000","6.9636","6.9682","6.8273"
"2017/01/05","6.9636","8302300.0000","6.8818","7.0000","6.8455"
"2017/01/04","6.7727","7536224.0000","6.7818","6.8136","6.7273"
"2017/01/03","6.8182","5793918.0000","6.8091","6.8182","6.7364"
"2016/12/30","6.8091","4285135.0000","6.8273","6.9364","6.7818"
"2016/12/29","6.7273","3125033.0000","6.7091","6.8091","6.6909"
"2016/12/28","6.7455","3161635.0000","6.7818","6.7909","6.7273"
"2016/12/27","6.8182","2535522.0000","6.8273","6.8545","6.8000"
"2016/12/23","6.7909","2155976.0000","6.7818","6.7955","6.7409"
"2016/12/22","6.7727","2791923.0000","6.8000","6.8091","6.7364"
"2016/12/21","6.8091","2600705.0000","6.9273","6.9273","6.7636"
"2016/12/20","6.8000","3402157.0000","6.7727","6.8091","6.7455"
"2016/12/19","6.8182","5399813.0000","6.8727","6.8909","6.7818"
"2016/12/16","6.8182","7714487.0000","6.9455","6.9455","6.7818"
"2016/12/15","6.9636","6184846.0000","7.0909","7.0909","6.9545"
"2016/12/14","7.0273","19347603.0000","7.1091","7.1091","6.9727"
"2016/12/13","7.1364","6593605.0000","7.1545","7.2545","7.1364"
"2016/12/12","7.1455","5347624.0000","7.1455","7.1727","7.0545"
"2016/12/09","7.2545","6473621.0000","7.2273","7.2636","7.1818"
"2016/12/08","7.1727","9457025.0000","7.1091","7.2091","7.1000"
"2016/12/07","7.0364","16116386.0000","7.0909","7.1000","6.9909"
"2016/12/06","7.1364","7948808.0000","7.0636","7.1636","7.0182"
"2016/12/05","6.9818","4684281.0000","7.0364","7.0364","6.9273"
"2016/12/02","6.9818","5901203.0000","6.9364","7.0182","6.9182"
"2016/12/01","6.8909","7932333.0000","6.9818","6.9818","6.8636"
"2016/11/30","7.1273","14791876.0000","7.1273","7.2364","7.1273"
"2016/11/29","6.8455","9070420.0000","6.8091","6.8682","6.7909"
"2016/11/28","6.7818","14719694.0000","6.8273","6.8455","6.7136"
"2016/11/25","7.0273","3472568.0000","7.0182","7.0636","6.9545"
"2016/11/23","7.0273","4264363.0000","7.0364","7.0545","6.9818"
