Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-May-2016,540.00,543.00,536.05,542.10,540.839240480677650110,49347,1590,26688794.00,17079,34.61,6.95,2.10
11-May-2016,540.00,540.00,534.00,537.15,536.646195494104749759,44697,1472,23986475.00,12246,27.40,6.00,-2.85
10-May-2016,541.20,541.90,534.70,538.60,538.554625062139115139,78453,2116,42251226.00,31750,40.47,7.20,-2.60
9-May-2016,533.45,540.10,532.00,538.90,536.481710165532649537,98470,2499,52827354.00,30200,30.67,8.10,5.45
6-May-2016,545.00,546.50,531.75,532.60,533.672907102582982066,404726,4309,215991301.00,313857,77.55,14.75,-12.40
5-May-2016,539.50,545.00,537.25,543.00,540.666616107993326255,72523,2298,39210765.00,27711,38.21,7.75,3.50
4-May-2016,541.00,542.75,537.50,539.80,539.786756100199651838,101677,2849,54883898.00,42385,41.69,5.25,-1.20
3-May-2016,548.60,550.00,540.10,543.55,545.508493092413739764,103437,3730,56425762.00,37458,36.21,9.90,-5.05
2-May-2016,557.00,557.00,545.95,548.25,548.563749346651954236,86095,2230,47228596.00,34609,40.20,11.05,-8.75
29-April-2016,554.80,557.00,549.00,553.70,553.527902728621988811,87590,2789,48483509.00,19239,21.96,8.00,-1.10
28-April-2016,560.00,563.90,550.85,553.60,557.074957965531736023,95160,2739,53011253.00,28736,30.20,13.05,-6.40
27-April-2016,554.70,562.00,552.70,560.95,559.657316778588337600,103495,3441,57921734.00,35374,34.18,9.30,6.25
26-April-2016,553.20,558.00,550.50,554.70,554.055109657399253574,119235,3855,66062761.00,34341,28.80,7.50,1.50
25-April-2016,560.00,561.95,551.15,552.40,555.108865460323695087,112019,2120,62182740.00,51403,45.89,10.80,-7.60
22-April-2016,560.00,562.75,555.00,557.70,559.704632679495365065,709503,4806,397112116.00,72475,10.21,7.75,-2.30
21-April-2016,570.05,578.00,556.55,559.20,564.210221065920608058,846761,13406,477751211.00,180991,21.37,21.45,-10.85
20-April-2016,595.00,606.75,589.55,601.35,596.150213791019985132,883807,11934,526881732.00,553076,62.58,17.20,6.35
18-April-2016,588.10,594.50,580.50,589.15,586.794687107168142871,138418,4958,81222947.00,31557,22.80,14.00,1.05
13-April-2016,583.75,591.95,578.85,584.60,581.474567544917830715,266097,4446,154728638.00,164636,61.87,13.10,0.85
12-April-2016,566.00,570.05,561.90,568.20,564.756380510440835266,52582,2127,29696020.00,14508,27.59,8.15,2.20
